res1,res2,pair,ind1,ind2,roh1,roh2,roh3,ind1roh1,ind1roh2,ind2roh1,ind2roh2
Kanha,Kaziranga,Kanha-Kaziranga,BEN_CI15,BEN_NE2,6302629,4901377,0,431734746,313676252,309793891,233913209
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW11,5676885,5676885,0,431734746,313676252,310616571,263905963
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW13,5957387,5957387,0,431734746,313676252,389020649,344174628
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW12,7656860,7656860,0,431734746,313676252,262764295,227052846
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW24,8770687,7783134,0,431734746,313676252,347774688,301627698
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW8,9802254,9802254,0,431734746,313676252,314931496,275076038
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW9,10173760,10173760,0,431734746,313676252,259710267,216389572
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW19,11128893,10786497,0,431734746,313676252,277759581,232322355
Kanha,Wayanad,Kanha-Wayanad,BEN_CI15,BEN_SI3,14109538,12117823,0,431734746,313676252,430214378,345974583
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW14,12580853,12580853,0,431734746,313676252,222305063,177541519
Kanha,Corbett,Kanha-Corbett,BEN_CI15,BEN_NOR2,17271584,13996061,0,431734746,313676252,418514715,315997124
Kanha,Zoo,Kanha-Zoo,BEN_CI15,ZSB_01,25115113,21352336,0,431734746,313676252,343260407,256023333
Kanha,Lalgarh,Kanha-Lalgarh,BEN_CI15,LGS1,67915700,65070710,0,431734746,313676252,504605978,404772144
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW3,0,0,0,431734746,313676252,248403143,207797688
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI15,BEN_NW4,0,0,0,431734746,313676252,191834501,158691252
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI19,226208515,215937784,115473069,431734746,313676252,351322149,241812071
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI16,436607371,433099081,225451074,431734746,313676252,336116191,260165870
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI3,405406889,398157381,245273956,431734746,313676252,115966378,114426239
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI4,559937354,554928857,319625860,431734746,313676252,351998277,270707157
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI5,840532185,839250996,482927781,431734746,313676252,377525892,289122614
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI6,936409621,925476606,515047544,431734746,313676252,406156567,304633087
Kanha,Kanha,Kanha-Kanha,BEN_CI15,BEN_CI18,1151719574,1145913594,990151434,431734746,313676252,395198516,280261230
Kanha,Zoo,Kanha-Zoo,BEN_CI15,ZSB_02,1616650,1616650,0,431734746,313676252,338557583,260820720
Kanha,Zoo,Kanha-Zoo,BEN_CI15,ZSB_03,1885321,1885321,0,431734746,313676252,305927069,241409256
Kanha,Zoo,Kanha-Zoo,BEN_CI15,ZSB_05,3972955,3157623,0,431734746,313676252,326718091,246263826
Kanha,Zoo,Kanha-Zoo,BEN_CI15,ZSB_04,0,0,0,431734746,313676252,370211960,302302125
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW17,0,0,0,336116191,260165870,286658737,256140006
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW18,0,0,0,336116191,260165870,281506214,242877521
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW24,0,0,0,336116191,260165870,347774688,301627698
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW55,0,0,0,336116191,260165870,592057634,534097691
Kanha,Ranthambore,Kanha-Ranthambore,BEN_CI16,BEN_NW6,0,0,0,336116191,260165870,294235530,248527765
